year,month,day,avg_temperature,precipitation
2022,12,31,5.9,3.8
2022,12,30,7.8,12.7
2022,12,29,4.84,2.9
2022,12,28,5.8,3.8
2022,12,27,8.1,28.8
2022,12,26,9.5,18.2
2022,12,25,5.5,16.1
2022,12,24,4.05,28.2
2022,12,23,-3.0,11.9
2022,12,22,-10.15,0.0
2022,12,21,-9.94,0.2
2022,12,20,-7.6,24.2
2022,12,19,-7.15,4.0
2022,12,18,-1.6,8.8
2022,12,17,2.4,2.1
2022,12,16,1.04,0.0
2022,12,15,1.8,0.0
2022,12,14,2.45,0.0
2022,12,13,2.25,0.3
2022,12,12,3.3,0.0
2022,12,11,6.05,0.4
2022,12,10,5.9,11.3
2022,12,9,2.75,2.9
2022,12,8,3.8,4.5
2022,12,7,4.15,2.3
2022,12,6,1.65,0.4
2022,12,5,-2.0,0.0
2022,12,4,-0.89,0.0
2022,12,3,0.7,0.0
2022,12,2,-1.5,0.0
2022,12,1,-2.55,0.0
2022,11,30,1.2,1.2
2022,11,29,-1.5,10.0
2022,11,28,0.29,0.0
2022,11,27,5.55,0.0
2022,11,26,4.75,0.0
2022,11,25,7.15,12.4
2022,11,24,7.69,0.0
2022,11,23,6.6,0.0
2022,11,22,7.55,16.0
2022,11,21,6.0,0.5
2022,11,20,2.45,0.4
2022,11,19,0.79,0.0
2022,11,18,0.79,0.0
2022,11,17,5.0,0.0
2022,11,16,3.25,0.0
2022,11,15,2.75,0.0
2022,11,14,3.34,0.0
2022,11,13,4.3,0.0
2022,11,12,2.95,0.0
2022,11,11,4.64,0.0
2022,11,10,3.95,0.0
2022,11,9,0.79,0.0
2022,11,8,2.04,1.0
2022,11,7,2.5,2.2
2022,11,6,3.6,14.3
2022,11,5,5.65,0.0
2022,11,4,7.45,31.6
2022,11,3,4.0,24.2
2022,11,2,5.7,0.0
2022,11,1,5.95,0.0
2022,10,31,8.94,1.6
2022,10,30,10.9,25.2
2022,10,29,10.3,0.0
2022,10,28,11.14,2.1
2022,10,27,10.25,17.0
2022,10,26,7.44,4.3
2022,10,25,8.8,17.2
2022,10,24,10.35,13.0
2022,10,23,7.6,6.7
2022,10,22,9.05,0.2
2022,10,21,10.3,1.4
2022,10,20,13.15,0.0
2022,10,19,9.85,0.0
2022,10,18,11.8,0.0
2022,10,17,14.14,0.0
2022,10,16,13.1,0.0
2022,10,15,12.05,0.0
2022,10,14,12.35,0.0
2022,10,13,11.89,0.0
2022,10,12,10.95,0.0
2022,10,11,12.55,0.0
2022,10,10,14.3,0.0
2022,10,9,14.39,0.0
2022,10,8,14.25,0.0
2022,10,7,15.2,0.0
2022,10,6,14.0,0.0
2022,10,5,14.95,0.0
2022,10,4,15.35,0.0
2022,10,3,14.65,0.0
2022,10,2,14.75,0.0
2022,10,1,14.25,0.0
2022,9,30,14.5,0.0
2022,9,29,15.75,0.0
2022,9,28,16.75,0.2
2022,9,27,16.55,0.0
2022,9,26,15.8,0.0
2022,9,25,15.0,0.0
2022,9,24,15.75,0.0
2022,9,23,15.15,0.0
2022,9,22,14.85,0.0
2022,9,21,13.25,0.0
2022,9,20,13.25,0.0
2022,9,19,13.45,0.0
2022,9,18,14.45,0.0
2022,9,17,13.35,0.0
2022,9,16,15.0,1.6
2022,9,15,15.85,0.3
2022,9,14,17.14,0.0
2022,9,13,15.45,0.0
2022,9,12,18.75,0.0
2022,9,11,19.25,0.0
2022,9,10,17.39,0.0
2022,9,9,16.2,0.0
2022,9,8,14.05,0.0
2022,9,7,16.8,0.0
2022,9,6,15.6,0.0
2022,9,5,15.8,0.0
2022,9,4,17.75,4.9
2022,9,3,18.89,0.0
2022,9,2,19.25,0.0
2022,9,1,21.15,0.0
2022,8,31,22.1,0.0
2022,8,30,20.8,0.0
2022,8,29,19.64,0.0
2022,8,28,17.7,0.0
2022,8,27,18.3,0.0
2022,8,26,18.1,0.0
2022,8,25,21.6,0.0
2022,8,24,20.7,0.0
2022,8,23,19.0,0.0
2022,8,22,19.8,0.0
2022,8,21,20.79,0.0
2022,8,20,21.1,0.0
2022,8,19,22.75,0.0
2022,8,18,22.05,0.0
2022,8,17,20.39,0.0
2022,8,16,20.3,0.0
2022,8,15,20.6,0.0
2022,8,14,19.45,0.0
2022,8,13,20.14,0.0
2022,8,12,18.89,0.0
2022,8,11,19.39,0.0
2022,8,10,19.3,0.5
2022,8,9,20.0,0.0
2022,8,8,19.55,0.0
2022,8,7,19.6,0.0
2022,8,6,18.75,0.0
2022,8,5,17.0,0.0
2022,8,4,17.75,0.0
2022,8,3,18.45,5.9
2022,8,2,20.0,0.0
2022,8,1,20.6,0.0
2022,7,31,23.2,0.0
2022,7,30,23.45,0.0
2022,7,29,23.4,0.0
2022,7,28,22.9,0.0
2022,7,27,24.45,0.0
2022,7,26,22.6,0.0
2022,7,25,20.39,0.0
2022,7,24,18.1,0.0
2022,7,23,16.64,0.0
2022,7,22,17.85,0.0
2022,7,21,19.25,0.0
2022,7,20,18.2,0.0
2022,7,19,17.1,0.0
2022,7,18,17.25,0.0
2022,7,17,15.9,1.8
2022,7,16,18.5,0.0
2022,7,15,17.7,1.3
2022,7,14,19.39,0.0
2022,7,13,18.25,0.0
2022,7,12,18.39,0.0
2022,7,11,18.55,0.0
2022,7,10,19.0,0.0
2022,7,9,17.7,0.0
2022,7,8,18.0,0.0
2022,7,7,19.04,11.0
2022,7,6,18.95,1.5
2022,7,5,17.35,0.0
2022,7,4,15.1,2.6
2022,7,3,14.25,9.7
2022,7,2,16.39,0.0
2022,7,1,18.45,0.0
2022,6,30,16.6,0.0
2022,6,29,17.25,0.0
2022,6,28,17.64,1.3
2022,6,27,20.14,0.0
2022,6,26,18.39,0.0
2022,6,25,16.6,0.0
2022,6,24,13.6,0.0
2022,6,23,14.55,0.0
2022,6,22,15.8,0.0
2022,6,21,15.65,0.2
2022,6,20,15.14,0.0
2022,6,19,15.25,0.0
2022,6,18,15.15,4.5
2022,6,17,14.2,0.4
2022,6,16,15.0,0.6
2022,6,15,13.8,0.6
2022,6,14,14.75,0.0
2022,6,13,14.7,0.0
2022,6,12,14.55,4.5
2022,6,11,15.85,0.2
2022,6,10,16.95,0.6
2022,6,9,13.65,26.3
2022,6,8,16.25,0.2
2022,6,7,13.45,0.8
2022,6,6,13.3,0.0
2022,6,5,16.05,12.5
2022,6,4,16.5,8.0
2022,6,3,15.6,9.0
2022,6,2,16.79,0.0
2022,6,1,14.25,0.0
2022,5,31,14.4,0.0
2022,5,30,12.0,5.1
2022,5,29,13.35,0.0
2022,5,28,11.8,0.0
2022,5,27,12.85,8.0
2022,5,26,13.25,8.8
2022,5,25,14.5,0.6
2022,5,24,12.89,0.0
2022,5,23,14.2,0.0
2022,5,22,13.8,0.0
2022,5,21,11.6,0.0
2022,5,20,9.44,0.0
2022,5,19,11.35,0.0
2022,5,18,11.85,5.7
2022,5,17,10.5,0.0
2022,5,16,11.8,1.1
2022,5,15,12.3,24.3
2022,5,14,10.6,3.8
2022,5,13,8.8,1.5
2022,5,12,8.65,6.6
2022,5,11,10.65,0.9
2022,5,10,11.3,0.9
2022,5,9,10.45,3.5
2022,5,8,8.75,3.2
2022,5,7,9.64,0.0
2022,5,6,9.64,0.0
2022,5,5,9.39,11.6
2022,5,4,10.1,1.9
2022,5,3,10.95,2.3
2022,5,2,11.85,2.3
2022,5,1,10.39,0.0
2022,4,30,11.2,8.9
2022,4,29,10.9,0.0
2022,4,28,7.45,0.0
2022,4,27,7.65,0.0
2022,4,26,7.85,1.0
2022,4,25,10.55,6.2
2022,4,24,11.05,1.0
2022,4,23,9.44,0.0
2022,4,22,9.44,0.0
2022,4,21,9.25,9.3
2022,4,20,8.25,5.0
2022,4,19,8.4,0.0
2022,4,18,8.65,19.2
2022,4,17,7.75,0.0
2022,4,16,4.85,0.0
2022,4,15,5.65,4.3
2022,4,14,4.6,0.0
2022,4,13,4.89,0.2
2022,4,12,5.25,8.6
2022,4,11,7.1,0.0
2022,4,10,5.94,1.4
2022,4,9,7.4,0.0
2022,4,8,9.3,4.4
2022,4,7,9.6,0.2
2022,4,6,6.5,0.0
2022,4,5,8.35,0.3
2022,4,4,7.85,5.4
2022,4,3,7.6,16.6
2022,4,2,8.15,0.4
2022,4,1,7.5,2.2
2022,3,31,8.25,0.0
2022,3,30,8.9,0.8
2022,3,29,9.65,1.6
2022,3,28,8.3,3.9
2022,3,27,9.94,2.0
2022,3,26,9.9,6.0
2022,3,25,8.65,0.0
2022,3,24,5.65,0.0
2022,3,23,8.9,4.0
2022,3,22,9.8,7.9
2022,3,21,6.5,21.6
2022,3,20,4.35,8.1
2022,3,19,7.95,2.0
2022,3,18,7.75,4.1
2022,3,17,6.55,17.5
2022,3,16,6.45,0.0
2022,3,15,7.7,3.2
2022,3,14,7.1,35.9
2022,3,13,8.3,8.3
2022,3,12,7.19,14.1
2022,3,11,3.9,3.3
2022,3,10,2.35,0.0
2022,3,9,3.25,0.0
2022,3,8,7.0,0.3
2022,3,7,6.3,0.0
2022,3,6,4.5,0.0
2022,3,5,6.1,0.0
2022,3,4,6.65,0.0
2022,3,3,7.25,0.2
2022,3,2,8.65,4.7
2022,3,1,10.05,3.5
2022,2,28,7.45,11.3
2022,2,27,7.55,19.3
2022,2,26,4.05,6.2
2022,2,25,0.4,0.0
2022,2,24,-0.6,0.4
2022,2,23,-2.65,0.0
2022,2,22,-0.2,0.0
2022,2,21,3.45,0.9
2022,2,20,5.8,0.0
2022,2,19,5.7,3.6
2022,2,18,5.8,0.0
2022,2,17,6.9,0.0
2022,2,16,5.45,0.0
2022,2,15,6.1,0.0
2022,2,14,5.85,3.5
2022,2,13,4.39,0.0
2022,2,12,3.6,0.0
2022,2,11,5.09,0.0
2022,2,10,5.09,0.2
2022,2,9,7.25,0.9
2022,2,8,5.45,2.9
2022,2,7,7.35,0.0
2022,2,6,3.5,0.0
2022,2,5,5.7,0.0
2022,2,4,6.19,3.3
